elapsed_s,voltage_V,current_A,temp_bat1_C,soc_cc_pct,soc_jk_pct,soc_ekf_pct,err_jk_pct,err_ekf_pct,v_pred_V
134.257,26.244,4.92,28.2,30.6935,31.0,30.6875,-0.3065,0.006,26.238
135.273,26.243,4.84,28.2,30.7001,31.0,30.6946,-0.2999,0.0055,26.23998
136.303,26.244,4.84,28.2,30.7068,31.0,30.7018,-0.2932,0.005,26.24078
137.323,26.244,4.84,28.2,30.7133,31.0,30.7086,-0.2867,0.0047,26.24178
138.264,26.246,4.88,28.2,30.7195,31.0,30.7152,-0.2805,0.0042,26.2429
139.272,26.246,4.92,28.2,30.7261,31.0,30.7219,-0.2739,0.0042,26.24475
140.289,26.249,4.84,28.2,30.7327,31.0,30.731,-0.2673,0.0017,26.24196
141.314,26.25,4.88,28.2,30.7394,31.0,30.738,-0.2606,0.0014,26.2476
142.359,26.25,4.92,28.2,30.7462,31.0,30.7449,-0.2538,0.0013,26.24858
143.267,26.25,4.92,28.2,30.7522,31.0,30.7511,-0.2478,0.0011,26.24799
144.29,26.252,4.92,28.2,30.7589,31.0,30.7587,-0.2411,0.0002,26.24774
145.31,26.252,4.84,28.2,30.7655,31.0,30.7662,-0.2345,-0.0007,26.2478
146.335,26.255,4.96,28.2,30.7723,31.0,30.7733,-0.2277,-0.001,26.25243
147.272,26.252,4.92,28.2,30.7785,31.0,30.7794,-0.2215,-0.001,26.25191
148.284,26.256,4.84,28.2,30.785,31.0,30.7891,-0.215,-0.0041,26.24786
149.405,26.253,4.8,28.2,30.7922,31.0,30.7963,-0.2078,-0.0041,26.25233
150.331,26.253,4.8,28.2,30.7981,31.0,30.8025,-0.2019,-0.0044,26.25079
151.35,26.256,4.96,28.2,30.8049,31.0,30.8093,-0.1951,-0.0045,26.25435
152.28,26.258,4.88,28.2,30.8109,31.0,30.8171,-0.1891,-0.0062,26.25199
153.398,26.261,4.92,28.2,30.8183,31.0,30.8255,-0.1817,-0.0072,26.25624
154.318,26.263,4.92,28.2,30.8243,31.0,30.8324,-0.1757,-0.0081,26.25873
155.353,26.263,4.84,28.2,30.831,31.0,30.84,-0.169,-0.009,26.2585
156.29,26.263,4.84,28.2,30.8371,31.0,30.8463,-0.1629,-0.0092,26.26055
157.296,26.263,4.92,28.2,30.8437,31.0,30.8529,-0.1563,-0.0093,26.26228
158.314,26.263,4.88,28.2,30.8503,31.0,30.8601,-0.1497,-0.0098,26.25953
159.339,26.266,4.88,28.2,30.857,31.0,30.8682,-0.143,-0.0112,26.2604
160.364,26.266,4.92,28.2,30.8637,31.0,30.875,-0.1363,-0.0113,26.26426
161.395,26.264,4.84,28.2,30.8704,31.0,30.882,-0.1296,-0.0116,26.26147
162.309,26.264,4.84,28.2,30.8763,31.0,30.8881,-0.1237,-0.0118,26.26162
163.332,26.267,4.92,28.2,30.883,31.0,30.8955,-0.117,-0.0125,26.26325
164.359,26.267,4.84,28.2,30.8897,31.0,30.903,-0.1103,-0.0133,26.26246
165.302,26.269,4.88,28.2,30.8958,31.0,30.9097,-0.1042,-0.0139,26.26542
166.301,26.27,4.88,28.2,30.9023,31.0,30.9168,-0.0977,-0.0144,26.26633
167.327,26.266,4.88,28.2,30.909,31.0,30.9234,-0.091,-0.0144,26.26724
168.357,26.27,4.88,28.2,30.9157,31.0,30.9319,-0.0843,-0.0162,26.26339
169.374,26.27,4.88,28.2,30.9223,31.0,30.9389,-0.0777,-0.0165,26.26728
170.308,26.269,4.88,28.2,30.9284,31.0,30.945,-0.0716,-0.0166,26.2675
171.321,26.272,4.88,28.2,30.935,31.0,30.953,-0.065,-0.0179,26.26634
172.345,26.273,4.84,28.2,30.9417,31.0,30.9605,-0.0583,-0.0188,26.26827
173.37,26.273,4.92,28.2,30.9484,31.0,30.9673,-0.0516,-0.0189,26.27203
